FCC,BCC,HCP,IM,Phase,Alloy name,Environment,Concentration in M,Electrolyte,Corrosion potential (mV vs SCE),Pitting potential (mV vs SCE),Icorr (microA/cm2),Calculated passive window,Processing,Al,B,Be,Co,Cr,Cu,Fe,Ga,Hf,La,Mg,Mn,Mo,Nb,Ni,Si,Sn,Ta,Ti,V,W,Y,Zn,Zr,Reference
1,0,0,0,FCC,Co1.5CrFeNi1.5Ti0.5,0.5 M H2SO4,0.5,H2SO4,-92,1089,30,1181,induction melted,0,0,0,0.272727273,0.181818182,0,0.181818182,0,0,0,0,0,0,0,0.272727273,0,0,0,0.090909091,0,0,0,0,0,doi:10.1016/j.corsci.2010.04.004
1,0,0,0,FCC,Co1.5CrFeNi1.5Ti0.5Mo0.1,0.5 M H2SO4,0.5,H2SO4,-71,1089,78,1160,induction melted,0,0,0,0.267857143,0.178571429,0,0.178571429,0,0,0,0,0,0.017857143,0,0.267857143,0,0,0,0.089285714,0,0,0,0,0,doi:10.1016/j.corsci.2010.04.005
1,0,0,0,FCC,Co1.5CrFeNi1.5Ti0.5Mo0.5,0.5 M H2SO4,0.5,H2SO4,-64,1089,72,1153,induction melted,0,0,0,0.25,0.166666667,0,0.166666667,0,0,0,0,0,0.083333333,0,0.25,0,0,0,0.083333333,0,0,0,0,0,doi:10.1016/j.corsci.2010.04.006
1,0,0,0,FCC,Co1.5CrFeNi1.5Ti0.5Mo0.8,0.5 M H2SO4,0.5,H2SO4,-70,1089,69,1159,induction melted,0,0,0,0.238095238,0.158730159,0,0.158730159,0,0,0,0,0,0.126984127,0,0.238095238,0,0,0,0.079365079,0,0,0,0,0,doi:10.1016/j.corsci.2010.04.007
1,0,0,0,FCC,Co1.5CrFeNi1.5Ti0.5,1 M NaOH,1,NaOH,-546,653,0.09,1199,induction melted,0,0,0,0.272727273,0.181818182,0,0.181818182,0,0,0,0,0,0,0,0.272727273,0,0,0,0.090909091,0,0,0,0,0,doi:10.1016/j.corsci.2010.04.004
1,0,0,0,FCC,Co1.5CrFeNi1.5Ti0.5Mo0.1,1 M NaOH,1,NaOH,-379,653,0.11,1032,induction melted,0,0,0,0.267857143,0.178571429,0,0.178571429,0,0,0,0,0,0.017857143,0,0.267857143,0,0,0,0.089285714,0,0,0,0,0,doi:10.1016/j.corsci.2010.04.005
1,0,0,0,FCC,Co1.5CrFeNi1.5Ti0.5Mo0.5,1 M NaOH,1,NaOH,-657,653,0.16,1310,induction melted,0,0,0,0.25,0.166666667,0,0.166666667,0,0,0,0,0,0.083333333,0,0.25,0,0,0,0.083333333,0,0,0,0,0,doi:10.1016/j.corsci.2010.04.006
1,0,0,0,FCC,Co1.5CrFeNi1.5Ti0.5Mo0.8,1 M NaOH,1,NaOH,-589,660,0.25,1249,induction melted,0,0,0,0.238095238,0.158730159,0,0.158730159,0,0,0,0,0,0.126984127,0,0.238095238,0,0,0,0.079365079,0,0,0,0,0,doi:10.1016/j.corsci.2010.04.007
1,0,0,0,FCC,Co1.5CrFeNi1.5Ti0.5,1 M NaCl,1,NaCl,-443,338,0.57,781,induction melted,0,0,0,0.272727273,0.181818182,0,0.181818182,0,0,0,0,0,0,0,0.272727273,0,0,0,0.090909091,0,0,0,0,0,doi:10.1016/j.corsci.2010.04.004
1,0,0,0,FCC,Co1.5CrFeNi1.5Ti0.5Mo0.1,1 M NaCl,1,NaCl,-381,1214,0.13,1595,induction melted,0,0,0,0.267857143,0.178571429,0,0.178571429,0,0,0,0,0,0.017857143,0,0.267857143,0,0,0,0.089285714,0,0,0,0,0,doi:10.1016/j.corsci.2010.04.005
1,0,0,0,FCC,Co1.5CrFeNi1.5Ti0.5Mo0.5,1 M NaCl,1,NaCl,-493,1164,0.2,1657,induction melted,0,0,0,0.25,0.166666667,0,0.166666667,0,0,0,0,0,0.083333333,0,0.25,0,0,0,0.083333333,0,0,0,0,0,doi:10.1016/j.corsci.2010.04.006
1,0,0,0,FCC,Co1.5CrFeNi1.5Ti0.5Mo0.8,1 M NaCl,1,NaCl,-551,1182,0.41,1733,induction melted,0,0,0,0.238095238,0.158730159,0,0.158730159,0,0,0,0,0,0.126984127,0,0.238095238,0,0,0,0.079365079,0,0,0,0,0,doi:10.1016/j.corsci.2010.04.007
0,0,0,0,missing,CoCrFeNiTi,3.5% NaCl solution at 353K,0.6,NaCl,,0.5,,, EBM - as-built,0,0,0,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0.2,0,0,0,0.2,0,0,0,0,0,https://doi.org/10.1016/j.addma.2018.10.023
0,0,0,0,missing,CoCrFeNiTi,3.5% NaCl solution at 353K,0.6,NaCl,,0.9,,,EBM - ST (W.Q.),0,0,0,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0.2,0,0,0,0.2,0,0,0,0,0,https://doi.org/10.1016/j.addma.2018.10.023
